2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=121 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=122 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=123 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=124 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=125 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=126 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=127 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=128 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=129 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=130 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=131 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=132 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=133 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=134 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=135 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=136 | len=8192
2026-04-09 22:31:14 | TX | FILE_CHUNK | seq=137 | len=3480
2026-04-09 22:31:14 | TX | FILE_DONE | seq=138 | len=7
2026-04-09 22:31:18 | RX | REQ_CLOSE | seq=5 | len=0
2026-04-09 22:31:18 | TX | ACK | seq=139 | len=0
2026-04-09 22:31:18 | INFO | SESSION_END | seq=0 | len=0
2026-04-09 22:38:39 | STATE | Connected | seq=0 | len=0
2026-04-09 22:38:39 | RX | HELLO | seq=1 | len=5
2026-04-09 22:38:39 | TX | CHALLENGE | seq=1 | len=5
2026-04-09 22:38:39 | RX | RESPONSE | seq=2 | len=21
2026-04-09 22:38:39 | TX | VERIFY_OK | seq=2 | len=0
2026-04-09 22:38:39 | STATE | Verified | seq=0 | len=0
2026-04-09 22:38:44 | RX | REQ_SNAPSHOT | seq=3 | len=0
2026-04-09 22:38:44 | TX | ACK | seq=3 | len=0
2026-04-09 22:38:44 | TX | DATA | seq=4 | len=40
2026-04-09 22:38:44 | TX | FILE_DONE | seq=5 | len=2
2026-04-09 22:38:46 | RX | REQ_DOWNLOAD | seq=4 | len=0
2026-04-09 22:38:46 | STATE | Transferring | seq=0 | len=0
2026-04-09 22:38:46 | TX | ACK | seq=6 | len=0
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=7 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=8 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=9 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=10 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=11 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=12 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=13 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=14 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=15 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=16 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=17 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=18 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=19 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=20 | len=8192
2026-04-09 22:38:46 | TX | FILE_CHUNK | seq=21 | len=8192
